日期,预测值_x,真实值_x,误差_x,标签,真实值_y,预测值_y,误差_y
3/8/17,1117.98,1157.3933,39.413299999999936,0,1209.2,1179.3286730649183,29.871326935081697
3/9/17,1122.2,1192.469143,70.26914299999999,0,1206.55,1179.7062585109552,26.84374148904476
3/10/17,1127.11,1192.09,64.98000000000002,0,1202.65,1179.9818620089973,22.668137991002823
3/11/17,1131.9,1179.159875,47.259874999999965,1,,,
3/12/17,1136.31,1227.494625,91.1846250000001,1,,,
3/13/17,1141.69,1227.68,85.99000000000001,0,1204.2,1179.007318714386,25.19268128561407
3/14/17,1146.95,1245.370786,98.42078599999991,0,1204.6,1179.2451715315535,25.354828468446385
3/15/17,1152.49,1257.399625,104.909625,0,1198.8,1179.4823880832853,19.317611916714668
3/16/17,1158.18,1257.0,98.81999999999994,0,1229.35,1179.5293047173916,49.82069528260831
3/17/17,1163.74,1091.171888,72.56811199999993,0,1229.6,1180.4933150850886,49.106684914911284
3/18/17,1165.66,952.2323625,213.42763750000006,1,,,
3/19/17,1164.59,967.69,196.89999999999986,1,,,
3/20/17,1163.86,1049.084488,114.77551199999994,0,1232.4,1180.3931429513364,52.00685704866373
3/21/17,1164.84,1118.630043,46.20995700000003,0,1241.6,1181.4501070507004,60.149892949299556
3/22/17,1167.24,1113.0,54.24000000000001,0,1249.05,1182.7393522970874,66.31064770291255
3/23/17,1169.48,1038.789,130.69100000000003,0,1247.5,1184.1982376842395,63.30176231576047
3/24/17,1170.13,941.9197143,228.2102857000001,0,1247.5,1185.5579318688804,61.94206813111964
3/25/17,1168.78,927.93,240.85000000000002,1,,,
3/26/17,1167.15,956.7863125,210.36368750000008,1,,,
3/27/17,1166.14,1037.22925,128.91075,0,1257.55,1185.9708415149116,71.57915848508833
3/28/17,1166.75,1041.04,125.71000000000004,0,1257.25,1187.6031447409966,69.64685525900336
3/29/17,1167.43,1040.5755,126.85450000000014,0,1251.1,1189.1668243053036,61.933175694696274
3/30/17,1168.07,1037.90455,130.16544999999996,0,1248.8,1190.5002105031429,58.2997894968571
3/31/17,1168.65,1034.74,133.91000000000008,0,1244.85,1191.7220178273205,53.12798217267937
4/1/17,1169.14,1086.929571,82.2104290000002,1,,,
4/2/17,1170.65,1099.169125,71.4808750000002,1,,,
4/3/17,1172.36,1079.99,92.36999999999989,0,1247.25,1192.0270623545375,55.22293764546248
4/4/17,1173.66,1141.600363,32.059637000000066,0,1257.65,1193.1897382862987,64.46026171370136
4/5/17,1176.13,1133.079314,43.05068600000004,0,1245.8,1194.5981505414989,51.2018494585011
4/6/17,1178.38,1133.53,44.850000000000136,0,1252.5,1195.6349274053755,56.86507259462451
4/7/17,1180.6,1190.45425,9.854250000000093,0,1266.45,1196.8163772980972,69.63362270190282
4/8/17,1183.86,1181.149838,2.7101619999998547,1,,,
4/9/17,1186.89,1184.03,2.8600000000001273,1,,,
4/10/17,1189.91,1207.744875,17.83487500000001,0,1250.05,1197.6795443237202,52.37045567627979
4/11/17,1193.32,1226.617038,33.29703800000016,0,1252.9,1198.7678883707579,54.13211162924222
4/12/17,1197.02,1219.09,22.069999999999936,0,1274.3,1199.895033484567,74.40496651543299
4/13/17,1200.51,1180.023713,20.486286999999948,0,1284.15,1201.5475489900466,82.60245100995348
4/14/17,1203.22,1185.260057,17.959943000000067,1,,,
4/15/17,1205.96,1170.36,35.600000000000136,1,,,
4/16/17,1208.39,1186.927413,21.462587000000212,1,,,
4/17/17,1211.07,1205.634875,5.435124999999971,1,,,
4/18/17,1214.04,1176.97,37.069999999999936,0,1278.95,1202.2965550334327,76.65344496656735
4/19/17,1216.44,1217.930088,1.4900880000000143,0,1279.05,1204.0955958417856,74.9544041582144
4/20/17,1219.53,1241.686325,22.156324999999924,0,1282.1,1205.8355852431575,76.26441475684237
4/21/17,1223.0,1236.63,13.63000000000011,0,1281.85,1207.5974599465626,74.25254005343731
4/22/17,1226.31,1261.311225,35.00122499999998,1,,,
4/23/17,1230.01,1257.988113,27.97811300000012,1,,,
4/24/17,1233.58,1240.84,7.259999999999991,0,1269.4,1208.8489577453165,60.55104225468358
4/25/17,1236.79,1279.414688,42.624688000000106,0,1267.8,1210.2233543931256,57.57664560687431
4/26/17,1240.62,1309.109875,68.48987500000021,0,1261.85,1211.5100375005516,50.33996249944835
4/27/17,1244.9,1288.02,43.11999999999989,0,1262.8,1212.6014266957816,50.19857330421837
4/28/17,1248.75,1331.294429,82.54442900000004,0,1266.45,1213.6815318832455,52.76846811675455
4/29/17,1253.28,1334.979038,81.69903799999997,1,,,
4/30/17,1257.8,1333.0,75.20000000000005,1,,,
5/1/17,1262.21,1417.172813,154.96281299999987,1,,,
5/2/17,1268.0,1452.076288,184.07628799999998,0,1255.45,1214.2863972305204,41.16360276947967
5/3/17,1274.28,1447.55,173.26999999999998,0,1250.3,1215.1677512213357,35.132248778664234
5/4/17,1280.39,1508.292125,227.90212499999984,0,1228.45,1215.8891175162842,12.560882483715886
5/5/17,1287.44,1533.335071,245.89507099999992,0,1228.05,1216.0389526278534,12.01104737214655
5/6/17,1294.79,1518.75,223.96000000000004,1,,,
5/7/17,1301.79,1535.868429,234.07842900000014,1,,,
5/8/17,1308.96,1640.619225,331.6592249999999,0,1229.8,1215.8506890356264,13.94931096437358
5/9/17,1317.76,1651.1,333.3399999999999,0,1220.4,1216.0391294992414,4.360870500758665
5/10/17,1326.61,1762.88625,436.2762500000001,0,1222.95,1215.9879644171303,6.962035582869703
5/11/17,1337.17,1820.990563,483.820563,0,1223.15,1215.9997622214833,7.150237778516839
5/12/17,1348.52,1829.0,480.48,0,1231.25,1216.015112871917,15.234887128083074
5/13/17,1359.84,1771.920013,412.080013,1,,,
5/14/17,1370.06,1776.3165,406.25649999999996,1,,,
5/15/17,1380.19,1780.0,399.80999999999995,0,1233.3,1215.9142233064229,17.3857766935771
5/16/17,1390.24,1739.031975,348.7919750000001,0,1234.2,1216.1802789485014,18.019721051498664
5/17/17,1399.47,1807.485063,408.01506300000005,0,1257.4,1216.4589827061488,40.941017293851246
5/18/17,1409.67,1783.98,374.30999999999995,0,1255.9,1217.2762325684146,38.62376743158552
5/19/17,1419.34,1961.520488,542.180488,0,1252.0,1218.034081633685,33.96591836631501
5/20/17,1431.7,2052.909788,621.2097879999999,1,,,
5/21/17,1445.33,2008.84,563.51,1,,,
5/22/17,1458.07,2090.662313,632.5923129999999,0,1258.85,1218.4129684976497,40.43703150235024
5/23/17,1471.91,2287.710288,815.8002880000001,0,1260.2,1219.2236241967696,40.97637580323044
5/24/17,1488.64,2256.32,767.6800000000001,0,1252.55,1220.0414273464517,32.5085726535483
5/25/17,1504.65,2387.206286,882.556286,0,1256.95,1220.6608804720759,36.289119527924186
5/26/17,1522.47,2211.976857,689.5068570000001,0,1265.05,1221.3617652776106,43.688234722389325
5/27/17,1537.33,2279.82,742.4900000000002,1,,,
5/28/17,1553.02,2192.9808,639.9607999999998,1,,,
5/29/17,1567.16,2275.9307,708.7706999999998,1,,,
5/30/17,1582.37,2290.02,707.6500000000001,0,1262.7,1221.9005091462318,40.79949085376825
5/31/17,1597.58,2285.933914,688.3539140000003,0,1266.2,1222.7245714684643,43.47542853153573
6/1/17,1612.53,2399.242671,786.712671,0,1264.85,1223.6037973474156,41.246202652584316
6/2/17,1628.98,2409.93,780.9499999999998,0,1274.95,1224.4278891164306,50.52211088356944
6/3/17,1645.37,2525.765158,880.3951580000003,1,,,
6/4/17,1663.27,2516.173143,852.903143,1,,,
6/5/17,1680.79,2529.53,848.7400000000002,0,1279.95,1225.2809981573937,54.66900184260635
6/6/17,1698.27,2883.313697,1185.043697,0,1293.5,1226.4163551326471,67.08364486735286
6/7/17,1720.77,2664.920863,944.1508629999998,0,1291.0,1227.8191408988434,63.18085910115656
6/8/17,1739.74,2683.03,943.2900000000002,0,1273.1,1229.1287503285278,43.97124967147215
6/9/17,1758.72,2827.4913,1068.7713,0,1266.55,1230.0160630369157,36.533936963084216
6/10/17,1779.57,2845.372857,1065.802857,1,,,
6/11/17,1800.41,2898.63,1098.22,1,,,
6/12/17,1821.75,2657.675063,835.9250630000001,0,1266.4,1230.6325045966637,35.7674954033364
6/13/17,1839.3,2748.185086,908.885086,0,1262.0,1231.3522769257984,30.647723074201622
6/14/17,1857.93,2706.0,848.0699999999999,0,1275.5,1231.9584780775297,43.54152192247034
6/15/17,1875.71,2442.48025,566.77025,0,1254.55,1232.8342660319827,21.715733968017275
6/16/17,1889.46,2464.959814,575.4998139999998,0,1255.4,1233.2482886111018,22.15171138889832
6/17/17,1903.36,2477.94,574.5800000000002,1,,,
6/18/17,1917.25,2507.389252,590.1392519999999,1,,,
6/19/17,1931.38,2617.210263,685.8302629999998,0,1248.15,1233.5971193135433,14.552880686456774
6/20/17,1946.88,2600.0,653.1199999999999,0,1242.2,1233.866146267738,8.333853732262014
6/21/17,1961.94,2671.04325,709.1032500000001,0,1242.5,1234.0046214966283,8.49537850337174
6/22/17,1977.8,2727.288013,749.4880129999999,0,1250.8,1234.1455764315283,16.654423568471657
6/23/17,1994.25,2713.48,719.23,0,1255.7,1234.4516188211328,21.24838117886725
6/24/17,2010.29,2589.164888,578.8748879999998,1,,,
6/25/17,2024.39,2512.366286,487.97628599999985,1,,,
6/26/17,2037.24,2502.03,464.7900000000002,0,1245.25,1234.7913693398289,10.458630660171139
6/27/17,2049.79,2517.903114,468.1131140000002,0,1249.55,1234.9755834633288,14.574416536671151
6/28/17,2062.39,2585.349186,522.959186,0,1248.0,1235.2417099366855,12.758290063314462
6/29/17,2075.76,2558.3,482.53999999999996,0,1243.5,1235.4702397158972,8.02976028410285
6/30/17,2088.58,2477.641375,389.0613750000002,0,1242.25,1235.6041846442115,6.6458153557885
7/1/17,2100.14,2501.191343,401.0513430000001,1,,,
7/2/17,2111.88,2421.26,309.3800000000001,1,,,
7/3/17,2122.37,2561.225429,438.8554290000002,0,1229.25,1235.6638139067754,6.413813906775431
7/4/17,2134.63,2599.729838,465.0998380000001,0,1223.75,1235.5136772921605,11.763677292160537
7/5/17,2147.25,2598.89,451.6399999999999,0,1220.3,1235.2593123808854,14.959312380885422
7/6/17,2159.7,2609.96775,450.26775,0,1224.9,1234.9439562289604,10.043956228960269
7/7/17,2172.14,2491.201214,319.0612140000003,0,1215.65,1234.724352177915,19.07435217791499
7/8/17,2182.84,2502.86,320.02,1,,,
7/9/17,2193.56,2536.238938,342.678938,1,,,
7/10/17,2204.59,2366.170143,161.58014299999968,0,1211.9,1234.2750094007208,22.375009400720728
7/11/17,2213.23,2327.09,113.86000000000013,0,1211.05,1233.8150912706024,22.765091270602397
7/12/17,2221.26,2385.748571,164.48857099999987,0,1218.8,1233.3496271452052,14.54962714520525
7/13/17,2229.94,2354.783417,124.84341700000004,0,1218.9,1233.041237171444,14.14123717144389
7/14/17,2238.11,2338.49,100.37999999999965,0,1230.3,1232.741632503311,2.4416325033109842
7/15/17,2245.97,2058.9956,186.9743999999996,1,,,
7/16/17,2250.1,1931.2143,318.8856999999998,1,,,
7/17/17,2252.51,1910.96,341.5500000000002,0,1234.1,1232.5875397827467,1.5124602172531922
7/18/17,2254.63,2320.12225,65.49224999999979,0,1240.75,1232.5795597581894,8.170440241810638
7/19/17,2261.97,2264.7657,2.7957000000001244,0,1242.15,1232.6951499133156,9.454850086684473
7/20/17,2268.51,2265.21,3.300000000000182,0,1238.7,1232.8337659713443,5.866234028655754
7/21/17,2274.98,2682.195363,407.2153629999998,0,1248.55,1232.9061896967407,15.643810303259215
7/22/17,2286.67,2807.609857,520.9398569999998,1,,,
7/23/17,2299.82,2825.51,525.69,1,,,
7/24/17,2313.03,2751.821029,438.791029,0,1255.55,1233.0895226926639,22.460477307336078
7/25/17,2325.16,2560.997917,235.8379170000003,0,1254.4,1233.467210845928,20.932789154071997
7/26/17,2334.75,2564.3,229.55000000000018,0,1248.1,1233.8155507686636,14.284449231336339
7/27/17,2344.26,2647.625,303.3649999999998,0,1261.1,1234.0429892353739,27.057010764626057
7/28/17,2354.7,2781.636583,426.93658300000016,0,1264.9,1234.49687195865,30.4031280413501
7/29/17,2366.68,2784.8,418.12000000000035,1,,,
7/30/17,2378.57,2745.955417,367.38541699999996,1,,,
7/31/17,2389.83,2866.431667,476.6016669999999,0,1267.55,1234.9616745275412,32.58832547245879
8/1/17,2402.45,2862.9,460.4500000000003,0,1270.95,1235.5195943742856,35.43040562571446
8/2/17,2414.88,2693.633983,278.75398300000006,0,1269.6,1236.1254731095162,33.47452689048373
8/3/17,2425.09,2794.117717,369.02771699999994,0,1268.1,1236.6946650230575,31.405334976942413
8/4/17,2436.4,2790.0,353.5999999999999,0,1257.7,1237.2256970324593,20.47430296754078
8/5/17,2447.54,3218.115017,770.5750170000001,1,,,
8/6/17,2463.75,3252.562533,788.8125329999998,1,,,
8/7/17,2480.2,3210.2,730.0,0,1258.0,1237.5444901665483,20.455509833451742
8/8/17,2495.95,3457.374333,961.4243330000004,0,1261.8,1237.8897627655854,23.91023723441458
8/9/17,2514.51,3357.326317,842.8163169999998,0,1271.05,1238.293331100904,32.756668899095985
8/10/17,2531.65,3340.28,808.6300000000001,0,1284.4,1238.8468682778164,45.55313172218371
8/11/17,2548.4,3632.506667,1084.106667,0,1286.1,1239.6157575354423,46.48424246455761
8/12/17,2568.46,3852.802914,1284.3429139999998,1,,,
8/13/17,2590.92,3868.52,1277.6,1,,,
8/14/17,2613.32,4282.992,1669.672,0,1282.3,1240.401616364067,41.89838363593299
8/15/17,2640.38,4217.028329,1576.6483289999996,0,1270.3,1241.1164393483105,29.183560651689504
8/16/17,2666.38,4179.97,1513.5900000000001,0,1272.75,1241.6140631383928,31.135936861607206
8/17/17,2691.66,4328.725717,1637.0657170000004,0,1285.15,1242.1426020578556,43.00739794214451
8/18/17,2718.41,4130.440067,1412.0300670000006,0,1295.8,1242.8664904145287,52.933509585471256
8/19/17,2742.56,4104.71,1362.15,1,,,
8/20/17,2766.15,4157.958033,1391.8080329999998,1,,,
8/21/17,2790.12,4043.722,1253.6020000000003,0,1292.9,1243.7845159043607,49.11548409563943
8/22/17,2812.5,3986.28,1173.7800000000002,0,1284.2,1244.6180545202549,39.58194547974517
8/23/17,2833.98,4174.95,1340.9699999999998,0,1286.65,1245.291328776518,41.35867122348213
8/24/17,2857.41,4340.316717,1482.9067169999998,0,1289.0,1245.9914195785113,43.00858042148866
8/25/17,2882.49,4331.77,1449.2800000000007,0,1285.3,1246.7160197700448,38.58398022995516
8/26/17,2907.21,4360.513317,1453.3033169999999,1,,,
8/27/17,2932.0,4354.308333,1422.308333,1,,,
8/28/17,2956.46,4339.05,1382.5900000000001,1,,,
8/29/17,2980.49,4607.98545,1627.4954500000003,0,1318.65,1247.461103483359,71.18889651664108
8/30/17,3007.32,4594.98785,1587.6678500000003,0,1308.5,1248.6608263058038,59.839173694196234
8/31/17,3033.72,4582.52,1548.8000000000006,0,1311.75,1249.6714849969687,62.07851500303127
9/1/17,3059.71,4911.740017,1852.030017,0,1320.4,1250.7148603545324,69.68513964546764
9/2/17,3089.14,4580.38748,1491.2474800000005,1,,,
9/3/17,3114.55,4585.57,1471.0199999999995,1,,,
9/4/17,3139.76,4344.098317,1204.3383169999997,0,1333.1,1251.975305158352,81.12469484164785
9/5/17,3162.02,4488.72014,1326.7001400000004,0,1335.55,1253.3367805687237,82.21321943127623
9/6/17,3185.66,4385.02,1199.3600000000006,0,1337.85,1254.7109754686485,83.13902453135142
9/7/17,3207.9,4654.6585,1446.7584999999995,0,1343.5,1256.0952559629175,87.40474403708254
9/8/17,3232.9,4310.750183,1077.850183,0,1346.25,1257.5423984830015,88.70760151699847
9/9/17,3253.86,4312.26,1058.4,1,,,
9/10/17,3274.62,4329.955,1055.335,1,,,
9/11/17,3295.36,4248.090017,952.7300170000003,0,1334.2,1259.1594674822666,75.04053251773348
9/12/17,3314.99,4198.59,883.6000000000004,0,1326.5,1260.424019207932,66.0759807920681
9/13/17,3333.89,3961.271267,627.3812670000002,0,1327.55,1261.543618278084,66.00638172191589
9/14/17,3350.01,3319.63,30.38000000000011,0,1324.55,1262.658578967049,61.89142103295103
9/15/17,3359.02,3216.43,142.59000000000015,0,1322.85,1263.7064356230958,59.14356437690412
9/16/17,3366.81,3763.62604,396.81604000000016,1,,,
9/17/17,3380.41,3746.060783,365.65078300000005,1,,,
9/18/17,3393.69,3678.53,284.84000000000015,0,1312.1,1264.9045784354055,47.195421564594426
9/19/17,3406.1,3943.413333,537.3133330000001,0,1309.6,1265.7335096234403,43.86649037655957
9/20/17,3421.22,3977.561667,556.3416670000001,0,1311.3,1266.508761996083,44.79123800391699
9/21/17,3436.54,3894.48,457.94000000000005,0,1292.1,1267.2958869503884,24.804113049611487
9/22/17,3450.83,3637.50255,186.67255000000023,0,1294.8,1267.7779055214069,27.02209447859309
9/23/17,3462.25,3776.3869,314.13689999999997,1,,,
9/24/17,3475.02,3777.62,302.5999999999999,1,,,
9/25/17,3487.67,3942.555,454.88499999999976,0,1293.3,1268.5105700641018,24.78942993589817
9/26/17,3501.93,3910.307383,408.377383,0,1300.05,1268.9959562821484,31.054043717851528
9/27/17,3515.7,3881.0,365.3000000000002,0,1282.55,1269.5744684163487,12.975531583651218
